NAME;URL;VALUE;
AIK-B.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;115.98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM
POOL-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POOL-B.ST;115.77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POOL-B.ST
66669.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=66669.ST;115.75;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=66669.ST
POLYG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLYG.ST;115.53;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLYG.ST
IVACC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVACC.ST;114.63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVACC.ST
PDX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PDX.ST;114.63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PDX.ST
MPI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MPI.ST;114.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MPI.ST
K2A-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=K2A-PREF.ST;113.59;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=K2A-PREF.ST
BRG-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST;113.36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST
BTS-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST;113.08;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST
SDIP-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDIP-PREF.ST;113.07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDIP-PREF.ST
KAPIAB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAPIAB.ST;112.24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAPIAB.ST
MIPS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIPS.ST;112.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIPS.ST
INDEX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDEX.ST;111.31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDEX.ST
TLSN.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TLSN.ST;111.1;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TLSN.ST
TFBANK.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TFBANK.ST;110.72;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TFBANK.ST
MTG-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTG-A.ST;110.52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTG-A.ST
VOLO-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO-PREF.ST;108.77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO-PREF.ST
