HUFV-A.ST;HUFVUDSTADEN A;STAY LONG;141.2;142.5;141.2;142.3;0.78;221,71
HUM.ST;HUMANA;STAY LONG;54;58.5;54;58;2.65;32,342
HUSQ-A.ST;HUSQVARNA A;STAY LONG;79.15;81.05;79.15;80.55;1.96;3,33
HUSQ-B.ST;HUSQVARNA B;STAY LONG;80;81.25;79.9;80.8;0.81;888,423
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;STAY SHORT;84.5;84.5;83;84;-1.18;1,26
ICA.ST;ICA GRUPPEN;BUY;316.9;318.8;315.7;317.9;0.35;364,343
ICTA-B.ST;INTELLECTA B;SELL;35.5;35.5;34.5;35;-1.13;9,072
IJ.ST;INTRUM JUSTITIA;STAY LONG;258.8;261.3;255.8;259;-0.12;374,065
IMMNOV.ST;IMMUNOVIA;STAY LONG;102;102;99;101;0.25;6,876
IMMU.ST;IMMUNICUM;STAY SHORT;15.9;16;15.5;15.7;0;32,654
IMNP.ST;IMMUNE PHARMACEUTICALS;STAY IN CASH;9.2;9.85;9;9.5;2.7;60,06
IMPC.ST;IMPACT COATINGS;STAY SHORT;16.7;18.3;16.7;17;2.41;42,121
